code,name,lat,lon,junction,source
BARN,Baranagar Road,22.653486,88.378858,,osm
BARS,Barsana,27.441889,77.146761,,osm
BARU,Baharu,22.204738,88.444184,,osm
BASN,Bhainswan,29.095248,76.680087,,osm
BASR,Batesar,26.907959,78.558863,,osm
BAT,Batala Junction,31.821405,75.194553,,osm
BATL,Baihatola,23.229375,82.050571,,osm
BATM,Batala Sugar Mills,31.859303,75.23093,,osm
BATS,Bhatsar,23.637645,72.064623,,osm
BAV,Baruva,18.901135,84.554463,,osm
BAWA,Balwara,25.501467,72.554492,,osm
BAWD,Bhadwad,21.324828,74.103631,,osm
BAYD,Bayad,23.222036,73.207625,,osm
BAZ,Baran,25.095267,76.507049,,osm
BBA,Babrala,28.266646,78.403503,,osm
BBAE,Baidyabati,22.79491,88.331772,,osm
BBAI,Bhadbhunja,21.162742,73.664993,,osm
BBAR,Bara,23.977666,81.116829,,osm
BBC,Bhachhbar,25.733148,71.001321,,osm
BBCE,Bulbulchandi,24.971078,88.243084,,osm
BBDA,Barbenda,23.420954,86.118863,,osm
BBDB,BBD Bagh,22.576842,88.346628,,osm
BBDE,Babarpur,29.449984,76.966619,,osm
BBE,Baghi Bardiha,24.949359,85.623013,,osm
BBG,بادامی باغ,31.596029,74.317187,,osm
BBH,بابر کچھ,29.792274,67.986411,,osm
BBJ,Babaganj,27.960817,81.566177,,osm
BBK,Barabanki Junction,23.743026,87.019012,,osm
BBKR,Baba Bakala Raiya,31.541303,75.239613,,osm
BBL,Balrai,26.920759,78.824029,,osm
BBLA,Bhyabla Halt,22.655344,88.853745,,osm
BBLK,Baba Laxman Daspuri,27.31631,79.363178,,osm
BBM,Barabhum,23.093505,86.211887,,osm
BBMN,Bari Brahman,32.638584,74.9164,,osm
BBN,Barbil,22.104861,85.369045,,osm
BBO,Babugarh,28.747535,77.857034,,osm
BBR,Bagbazar,22.605491,88.365506,,osm
BBS,Bhubaneswar,20.266777,85.843559,,osm
BBSL,Baba Sodhal Nagar,31.351382,75.566731,,osm
BBSN,Bhubaneswar New,20.381515,85.835448,,osm
BBT,Birati,22.66432,88.427496,,osm
BBTR,Barbatpur,22.196907,77.919728,,osm
BBU,Bhabua Road,25.172543,83.619816,,osm
BBW,Bodarwar,26.878,83.638191,,osm
BBY,Bhadroli,26.301155,78.180919,,osm
BC,Bareilly City,28.356201,79.403172,,osm
BCA,Bachwara Junction,25.583675,85.89868,,osm
BCB,Bhowrah,23.669941,86.416899,,osm
BCD,Bansdih Road,25.811358,84.214822,,osm
